"MTU","Out Area","In Area","Physical Flow (MW)"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Belgium (BE)","Luxembourg (LU)","57.33"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Netherlands (NL)","Belgium (BE)","1594.92"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","Belgium (BE)","United Kingdom (UK)","1005.27"
"17/10/2025 17:00:00 - 17/10/2025 18:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","France (FR)","Belgium (BE)","2239.72"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Belgium (BE)","Germany (DE)","852.05"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Belgium (BE)","Luxembourg (LU)","52.55"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Netherlands (NL)","Belgium (BE)","1475.79"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","Belgium (BE)","United Kingdom (UK)","1005.10"
"17/10/2025 18:00:00 - 17/10/2025 19:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","France (FR)","Belgium (BE)","535.62"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Belgium (BE)","Germany (DE)","45.29"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Belgium (BE)","Luxembourg (LU)","64.92"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Netherlands (NL)","Belgium (BE)","1369.64"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","Belgium (BE)","United Kingdom (UK)","273.94"
"17/10/2025 19:00:00 - 17/10/2025 20:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","France (FR)","Belgium (BE)","1123.48"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Belgium (BE)","Germany (DE)","263.15"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Germany (DE)","Belgium (BE)","0.00"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Belgium (BE)","Luxembourg (LU)","54.49"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Netherlands (NL)","Belgium (BE)","1411.53"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","Belgium (BE)","United Kingdom (UK)","853.79"
"17/10/2025 20:00:00 - 17/10/2025 21:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","France (FR)","Belgium (BE)","1039.69"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Belgium (BE)","Germany (DE)","0.00"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Germany (DE)","Belgium (BE)","204.28"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Belgium (BE)","Luxembourg (LU)","156.81"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Netherlands (NL)","Belgium (BE)","1064.46"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","Belgium (BE)","United Kingdom (UK)","467.66"
"17/10/2025 21:00:00 - 17/10/2025 22:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","France (FR)","Belgium (BE)","712.17"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Belgium (BE)","Germany (DE)","0.00"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Germany (DE)","Belgium (BE)","873.31"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Belgium (BE)","Luxembourg (LU)","227.52"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Netherlands (NL)","Belgium (BE)","681.54"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","Belgium (BE)","United Kingdom (UK)","339.20"
"17/10/2025 22:00:00 - 17/10/2025 23:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Belgium (BE)","France (FR)","0.00"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","France (FR)","Belgium (BE)","1104.58"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Belgium (BE)","Germany (DE)","0.00"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Germany (DE)","Belgium (BE)","826.94"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Belgium (BE)","Luxembourg (LU)","182.91"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Luxembourg (LU)","Belgium (BE)","0.00"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Belgium (BE)","Netherlands (NL)","0.00"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Netherlands (NL)","Belgium (BE)","630.61"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","Belgium (BE)","United Kingdom (UK)","288.70"
"17/10/2025 23:00:00 - 18/10/2025 00:00:00","United Kingdom (UK)","Belgium (BE)","0.00"
