"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"15/10/2025 20:15 - 15/10/2025 20:30","Belgium (BE)","10309.24","10235.70"
"15/10/2025 20:30 - 15/10/2025 20:45","Belgium (BE)","10212.12","10168.16"
"15/10/2025 20:45 - 15/10/2025 21:00","Belgium (BE)","10197.09","10120.63"
"15/10/2025 21:00 - 15/10/2025 21:15","Belgium (BE)","9808.11","9843.50"
"15/10/2025 21:15 - 15/10/2025 21:30","Belgium (BE)","9731.44","9721.68"
"15/10/2025 21:30 - 15/10/2025 21:45","Belgium (BE)","9572.37","9611.03"
"15/10/2025 21:45 - 15/10/2025 22:00","Belgium (BE)","9648.16","9557.63"
"15/10/2025 22:00 - 15/10/2025 22:15","Belgium (BE)","9328.40","9383.44"
"15/10/2025 22:15 - 15/10/2025 22:30","Belgium (BE)","9349.72","9357.34"
"15/10/2025 22:30 - 15/10/2025 22:45","Belgium (BE)","9287.48","9243.01"
"15/10/2025 22:45 - 15/10/2025 23:00","Belgium (BE)","9184.91","9156.28"
"15/10/2025 23:00 - 15/10/2025 23:15","Belgium (BE)","9044.79","9031.30"
"15/10/2025 23:15 - 15/10/2025 23:30","Belgium (BE)","8943.89","8877.84"
"15/10/2025 23:30 - 15/10/2025 23:45","Belgium (BE)","8819.27","8799.28"
"15/10/2025 23:45 - 16/10/2025 00:00","Belgium (BE)","8957.66","8717.05"
"16/10/2025 00:00 - 16/10/2025 00:15","Belgium (BE)","8652.37","8374.11"
"16/10/2025 00:15 - 16/10/2025 00:30","Belgium (BE)","8430.81","8249.04"
"16/10/2025 00:30 - 16/10/2025 00:45","Belgium (BE)","8405.75","8201.32"
"16/10/2025 00:45 - 16/10/2025 01:00","Belgium (BE)","8322.56","8156.68"
"16/10/2025 01:00 - 16/10/2025 01:15","Belgium (BE)","8096.41","7994.24"
"16/10/2025 01:15 - 16/10/2025 01:30","Belgium (BE)","7978.41","7923.78"
"16/10/2025 01:30 - 16/10/2025 01:45","Belgium (BE)","7877.32","7866.67"
"16/10/2025 01:45 - 16/10/2025 02:00","Belgium (BE)","7984.65","7831.11"
"16/10/2025 02:00 - 16/10/2025 02:15","Belgium (BE)","7706.48","7709.81"
"16/10/2025 02:15 - 16/10/2025 02:30","Belgium (BE)","7594.26","7716.15"
"16/10/2025 02:30 - 16/10/2025 02:45","Belgium (BE)","7761.94","7717.62"
"16/10/2025 02:45 - 16/10/2025 03:00","Belgium (BE)","7792.42","7737.07"
"16/10/2025 03:00 - 16/10/2025 03:15","Belgium (BE)","7550.53","7634.00"
"16/10/2025 03:15 - 16/10/2025 03:30","Belgium (BE)","7599.30","7620.43"
"16/10/2025 03:30 - 16/10/2025 03:45","Belgium (BE)","7732.53","7609.10"
"16/10/2025 03:45 - 16/10/2025 04:00","Belgium (BE)","7732.96","7603.05"
"16/10/2025 04:00 - 16/10/2025 04:15","Belgium (BE)","7773.10","7662.60"
"16/10/2025 04:15 - 16/10/2025 04:30","Belgium (BE)","7746.54","7679.98"
"16/10/2025 04:30 - 16/10/2025 04:45","Belgium (BE)","7840.16","7684.98"
"16/10/2025 04:45 - 16/10/2025 05:00","Belgium (BE)","7825.54","7732.97"
"16/10/2025 05:00 - 16/10/2025 05:15","Belgium (BE)","7806.45","7966.48"
"16/10/2025 05:15 - 16/10/2025 05:30","Belgium (BE)","8154.66","7997.06"
"16/10/2025 05:30 - 16/10/2025 05:45","Belgium (BE)","8189.99","8073.91"
